id,experiment,input,label,max,min
8,0.1-2,-0.7711101256008099,-0.825594059,1.291811881,-1.515207921
8,0.1-2,-0.7424941851470916,-0.767316832,1.291811881,-1.515207921
8,0.1-2,-0.6629381336439629,-0.75760396,1.291811881,-1.515207921
8,0.1-2,-0.5497024725159892,-0.563346535,1.291811881,-1.515207921
8,0.1-2,-0.5095066555619098,-0.621623762,1.291811881,-1.515207921
8,0.1-2,-0.4056118657381333,-0.437079208,1.291811881,-1.515207921
8,0.1-2,-0.3247776114777057,-0.446792079,1.291811881,-1.515207921
8,0.1-2,-0.1731882874620841,-0.194257426,1.291811881,-1.515207921
8,0.1-2,-0.0422724275710691,-0.155405941,1.291811881,-1.515207921
8,0.1-2,0.0780578676706386,0.067990099,1.291811881,-1.515207921
8,0.1-2,0.1186569720627383,0.029138614,1.291811881,-1.515207921
8,0.1-2,0.2594372301033465,0.242821782,1.291811881,-1.515207921
8,0.1-2,0.4762023631259941,0.339950495,1.291811881,-1.515207921
8,0.1-2,0.7054792271139811,0.660475248,1.291811881,-1.515207921
8,0.1-2,0.680642780473838,0.621623762,1.291811881,-1.515207921
8,0.1-2,0.684653239409811,0.641049505,1.291811881,-1.515207921
8,0.1-2,0.9009592760744388,0.767316832,1.291811881,-1.515207921
8,0.1-2,0.9172165633598036,0.835306931,1.291811881,-1.515207921
8,0.1-2,0.9279179601415456,0.864445545,1.291811881,-1.515207921
8,0.1-2,1.052846727958172,0.981,1.291811881,-1.515207921
8,0.1-2,1.161993619272294,1.097554455,1.291811881,-1.515207921
8,0.1-2,1.1380887871174077,1.05870297,1.291811881,-1.515207921
8,0.1-2,1.20174418920478,1.116980198,1.291811881,-1.515207921
8,0.1-2,1.2270283462800051,1.175257426,1.291811881,-1.515207921
8,0.1-2,0.940179677474874,0.942148515,1.291811881,-1.515207921
8,0.1-2,0.6645655547193094,0.582772277,1.291811881,-1.515207921
8,0.1-2,0.5677570883630381,0.485643564,1.291811881,-1.515207921
8,0.1-2,0.6083366371975911,0.553633663,1.291811881,-1.515207921
8,0.1-2,0.5326847718549634,0.495356436,1.291811881,-1.515207921
8,0.1-2,0.4466027006624414,0.407940594,1.291811881,-1.515207921
8,0.1-2,0.3944920826800356,0.339950495,1.291811881,-1.515207921
8,0.1-2,0.3454194505367667,0.22339604,1.291811881,-1.515207921
8,0.1-2,0.1684756046641952,0.135980198,1.291811881,-1.515207921
8,0.1-2,0.0483809837063462,0.009712871,1.291811881,-1.515207921
8,0.1-2,-0.0429971191020859,-0.116554455,1.291811881,-1.515207921
8,0.1-2,-0.2099111823400038,-0.30109901,1.291811881,-1.515207921
8,0.1-2,-0.268745664164115,-0.291386139,1.291811881,-1.515207921
8,0.1-2,-0.4377778273358933,-0.573059406,1.291811881,-1.515207921
8,0.1-2,-0.5688742458818412,-0.60219802,1.291811881,-1.515207921
8,0.1-2,-0.669672234923403,-0.747891089,1.291811881,-1.515207921
8,0.1-2,-0.7263915779051612,-0.75760396,1.291811881,-1.515207921
8,0.1-2,-0.834125594883899,-0.913009901,1.291811881,-1.515207921
8,0.1-2,-0.9106346429520336,-0.942148515,1.291811881,-1.515207921
8,0.1-2,-1.026027907309534,-1.107267327,1.291811881,-1.515207921
8,0.1-2,-1.0768285740771126,-1.126693069,1.291811881,-1.515207921
8,0.1-2,-1.2391846652730667,-1.340376238,1.291811881,-1.515207921
8,0.1-2,-1.2817258107255427,-1.320950495,1.291811881,-1.515207921
8,0.1-2,-0.978398582957832,-0.981,1.291811881,-1.515207921
8,0.1-2,-0.6408457188592256,-0.660475248,1.291811881,-1.515207921
8,0.1-2,-0.6542844577118023,-0.699326733,1.291811881,-1.515207921
8,0.1-2,-0.7645506731240752,-0.825594059,1.291811881,-1.515207921
8,0.1-2,-0.740549967295792,-0.75760396,1.291811881,-1.515207921
8,0.1-2,-0.7095211622404496,-0.747891089,1.291811881,-1.515207921
8,0.1-2,-0.5999847994017706,-0.650762376,1.291811881,-1.515207921
8,0.1-2,-0.5206080725297156,-0.582772277,1.291811881,-1.515207921
8,0.1-2,-0.4521055447516121,-0.495356436,1.291811881,-1.515207921
8,0.1-2,-0.3459522220745937,-0.446792079,1.291811881,-1.515207921
8,0.1-2,-0.2581011773778053,-0.242821782,1.291811881,-1.515207921
8,0.1-2,-0.1089097915853382,-0.184544554,1.291811881,-1.515207921
8,0.1-2,0.0416363114356759,0.019425743,1.291811881,-1.515207921
8,0.1-2,0.1073568618224865,0.009712871,1.291811881,-1.515207921
8,0.1-2,0.2138618232608289,0.22339604,1.291811881,-1.515207921
8,0.1-2,0.3791406564761138,0.310811881,1.291811881,-1.515207921
8,0.1-2,0.6421873817915973,0.611910891,1.291811881,-1.515207921
8,0.1-2,0.7303100656182921,0.660475248,1.291811881,-1.515207921
8,0.1-2,0.6590820518134213,0.621623762,1.291811881,-1.515207921
8,0.1-2,0.7903999950927378,0.728465347,1.291811881,-1.515207921
8,0.1-2,0.905413446082192,0.883871287,1.291811881,-1.515207921
8,0.1-2,0.9189805200653072,0.806168317,1.291811881,-1.515207921
8,0.1-2,0.96680321251067,0.932435644,1.291811881,-1.515207921
8,0.1-2,1.0796393838145246,1.039277228,1.291811881,-1.515207921
8,0.1-2,1.1385781183733563,1.019851485,1.291811881,-1.515207921
8,0.1-2,1.15207825537888,1.126693069,1.291811881,-1.515207921
8,0.1-2,1.2999850704868523,1.291811881,1.291811881,-1.515207921
8,0.1-2,1.182890960762483,1.000425743,1.291811881,-1.515207921
8,0.1-2,0.7771011111084773,0.60219802,1.291811881,-1.515207921
8,0.1-2,0.5603171606897077,0.427366337,1.291811881,-1.515207921
8,0.1-2,0.4998178078047219,0.485643564,1.291811881,-1.515207921
8,0.1-2,0.5795278583614374,0.475930693,1.291811881,-1.515207921
8,0.1-2,0.4950992449998996,0.407940594,1.291811881,-1.515207921
8,0.1-2,0.4397747082951619,0.359376238,1.291811881,-1.515207921
8,0.1-2,0.3970170026842132,0.262247525,1.291811881,-1.515207921
8,0.1-2,0.3005516451364199,0.203970297,1.291811881,-1.515207921
8,0.1-2,0.1119018647360179,-0.048564356,1.291811881,-1.515207921
8,0.1-2,-0.020968897204872,-0.087415842,1.291811881,-1.515207921
8,0.1-2,-0.161916972337081,-0.252534653,1.291811881,-1.515207921
8,0.1-2,-0.2384724155400682,-0.281673267,1.291811881,-1.515207921
8,0.1-2,-0.4202701354036875,-0.582772277,1.291811881,-1.515207921
